7.831832947796761868e-01,2.994638594172205903e-01
7.202205516936523999e-01,1.000016950757769696e-01
7.252019348973627322e-01,1.005682752474738872e-01
3.014563447931744022e-01,9.015033124168031264e+00
7.880049312506760550e-01,1.607663547706865981e-01
5.643261685580257536e-01,2.307869936732644511e+00
5.583848824174160175e-01,2.283695888019272591e+00
4.718905643529127114e-01,2.702243747573010335e+00
7.198001729699384788e-01,1.432230793730211671e+00
7.280044277882261605e-01,1.518580125732513775e-01
5.890733217916238607e-01,2.303529497261432191e+00
5.083701703462856214e-01,2.576141853456471065e+00
6.887465024090226873e-01,1.303216781258521861e-01
7.583627305819748976e-01,1.214170505044423476e-01
7.184453770616685553e-01,1.000716808703900063e-01
2.567714158204416619e-01,2.855917127223303709e+00
3.369077930893427109e-01,2.908616863536845010e+00
7.155038883479227785e-01,1.047092124682645897e-01
4.984875555435186456e-01,2.675667899946593042e+00
6.335790006222871140e-01,2.011792211524159324e+00
