x,y
0.0,583.1310232780776
0.00025,583.1310232780776
0.0005,583.1310232780776
0.00075,583.1310232780776
0.001,583.1310232780776
0.00125,583.1310232780776
0.0015,583.1310232780776
0.00175,583.1310232780776
0.002,583.1310232780776
0.00225,583.1310232780776
0.0025,583.1310232780776
0.00275,583.1310232780776
0.003,583.1310232780776
0.00325,583.1310232780776
0.0035,583.1310232780776
0.00375,583.1310232780776
0.004,583.1310232780776
0.00425,583.1310232780776
0.0045,583.1310232780776
0.00475,583.1310232780776
0.005,583.1310232780776
0.00525,583.1310232780776
0.0055,583.1310232780776
0.00575,583.1310232780776
0.006,583.1310232780776
0.00625,583.1310232780776
0.0065,583.1310232780776
0.00675,583.1310232780776
0.007,583.1310232780776
0.00725,583.1310232780776
0.0075,583.1310232780776
0.00775,583.1310232780776
0.008,583.1310232780776
0.00825,583.1310232780776
0.0085,583.1310232780776
0.00875,583.1310232780776
0.009,583.1310232780776
0.00925,583.1310232780776
0.0095,583.1310232780776
0.00975,583.1310232780776
0.01,583.1310232780776
0.01025,583.1310232780776
0.0105,583.1310232780776
0.01075,583.1310232780776
0.011,583.1310232780776
0.01125,583.1310232780776
0.0115,583.1310232780776
0.01175,583.1310232780776
0.012,583.1310232780776
0.01225,583.1310232780776
0.0125,583.1310232780776
0.01275,583.1310232780776
0.013,583.1310232780776
0.01325,583.1310232780776
0.0135,583.1310232780776
0.01375,583.1310232780776
0.014,583.1310232780776
0.01425,583.1310232780776
0.0145,583.1310232780776
0.01475,583.1310232780776
0.015,583.1310232780776
0.01525,583.1310232780776
0.0155,583.1310232780776
0.01575,583.1310232780776
0.016,583.1310232780776
0.01625,583.1310232780776
0.0165,583.1310232780776
0.01675,583.1310232780776
0.017,583.1310232780776
0.01725,583.1310232780776
0.0175,583.1310232780776
0.01775,583.1310232780776
0.018,583.1310232780776
0.01825,583.1310232780776
0.0185,583.1310232780776
0.01875,583.1310232780776
0.019,583.1310232780776
0.01925,583.1310232780776
0.0195,583.1310232780776
0.01975,583.1310232780776
0.02,583.1310232780776
0.02025,583.1310232780776
0.0205,583.1310232780776
0.02075,583.1310232780776
0.021,583.1310232780776
0.02125,583.1310232780776
0.0215,583.1310232780776
0.02175,583.1310232780776
0.022,583.1310232780776
0.02225,583.1310232780776
0.0225,583.1310232780776
0.02275,583.1310232780776
0.023,583.1310232780776
0.02325,583.1310232780776
0.0235,583.1310232780776
0.02375,583.1310232780776
0.024,583.1310232780776
0.02425,583.1310232780776
0.0245,583.1310232780776
0.02475,583.1310232780776
0.025,583.1310232780776
0.02525,583.1310232780776
0.0255,583.1310232780776
0.02575,583.1310232780776
0.026,583.1310232780776
0.02625,583.1310232780776
0.0265,583.1310232780776
0.02675,583.1310232780776
0.027,583.1310232780776
0.02725,583.1310232780776
0.0275,583.1310232780776
0.02775,583.1310232780776
0.028,583.1310232780776
0.02825,583.1310232780776
0.0285,583.1310232780776
0.02875,583.1310232780776
0.029,583.1310232780776
0.02925,583.1310232780776
0.0295,583.1310232780776
0.02975,583.1310232780776
0.03,583.1310232780776
0.03025,583.1310232780776
0.0305,583.1310232780776
0.03075,583.1310232780776
0.031,583.1310232780776
0.03125,583.1310232780776
0.0315,583.1310232780776
0.03175,583.1310232780776
0.032,583.1310232780776
