x,y
0.0,129388.40404228155
0.00025,128574.04489484873
0.0005,127764.81125171372
0.00075,126960.67085340677
0.001,126161.59164349634
0.00125,125367.54176731115
0.0015,124578.4895706706
0.00175,123794.40359862255
0.002,123015.25259418954
0.00225,122241.00549712278
0.0025,121471.63144266396
0.00275,120707.09976031476
0.003,119947.37997261433
0.00325,119192.44179392424
0.0035,118442.25512922113
0.00375,117696.79007289714
0.004,116956.01690756755
0.00425,116219.9061028863
0.0045,115488.42831436866
0.00475,114761.5543822216
0.005,114039.25533018113
0.00525,113321.50236435728
0.0055,112608.26687208636
0.00575,111899.52042079021
0.006,111195.2347568428
0.00625,110495.38180444387
0.0065,109799.93366449985
0.00675,109108.86261351152
0.007,108422.14110246893
0.00725,107739.74175575317
0.0075,107061.63737004503
0.00775,106387.80091324054
0.008,105718.20552337357
0.00825,105052.82450754459
0.0085,104391.63134085698
0.00875,103734.59966535936
0.009,103081.70328899511
0.00925,102432.91618455785
0.0095,101788.21248865436
0.00975,101147.5665006732
0.01,100510.95268176038
0.01025,99878.34565380108
0.0105,99249.72019840826
0.01075,98625.05125591702
0.011,98004.3139243858
0.01125,97387.48345860373
0.0115,96774.535269104
0.01175,96165.44492118378
0.012,95560.18813393007
0.01225,94958.74077925186
0.0125,94361.0788809181
0.01275,93767.17861360207
0.013,93177.01630193154
0.01325,92590.56841954497
0.0135,92007.81158815358
0.01375,91428.72257660968
0.014,90853.27829998017
0.01425,90281.45581862649
0.0145,89713.2323372902
0.01475,89148.58520418419
0.015,88587.49191008962
0.01525,88029.93008745876
0.0155,87475.8775095232
0.01575,86925.31208940786
0.016,86378.21187925046
0.01625,85834.55506932667
0.0165,85294.31998718058
0.01675,84757.48509676082
0.017,84224.02899756205
0.01725,83693.9304237718
0.0175,83167.16824342268
0.01775,82643.7214575501
0.018,82123.56919935506
0.01825,81606.69073337232
0.0185,81093.0654546439
0.01875,80582.67288789753
0.019,80075.49268673049
0.01925,79571.50463279855
0.0195,79070.68863500992
0.01975,78573.02472872438
0.02,78078.49307495735
0.02025,77587.07395958915
0.0205,77098.74779257893
0.02075,76613.49510718383
0.021,76131.29655918299
0.02125,75652.13292610632
0.0215,75175.98510646832
0.02175,74702.8341190064
0.022,74232.66110192452
0.02225,73765.447312141
0.0225,73301.17412454155
0.02275,72839.82303123662
0.023,72381.37564082371
0.02325,71925.81367765417
0.0235,71473.11898110465
0.02375,71023.27350485318
0.024,70576.25931615973
0.02425,70132.05859515135
0.0245,69690.65363411178
0.02475,69252.02683677555
0.025,68816.16071762654
0.02525,68383.03790120094
0.0255,67952.64112139454
0.02575,67524.95322077445
0.026,67099.95714989516
0.02625,66677.63596661887
0.0265,66257.97283544006
0.02675,65840.95102681442
0.027,65426.55391649191
0.02725,65014.76498485403
0.0275,64605.567816255294
0.02775,64198.94609836884
0.028,63794.88362153615
0.02825,63393.364278120855
0.0285,62994.3720618666
0.02875,62597.89106725905
0.029,62203.90548889171
0.02925,61812.39962083593
0.0295,61423.35785601478
0.02975,61036.7646855809
0.03,60652.60469829822
0.03025,60270.86257992766
0.0305,59891.52311261658
0.03075,59514.57117429214
0.031,59139.99173805852
0.03125,58767.76987159782
0.0315,58397.89073657483
0.03175,58030.33958804554
0.032,57665.101773869275
0.03225,57302.16273412466
0.0325,56941.50800052913
0.03275,56583.123195862274
0.033,56226.99403339257
0.03325,55873.10631630795
0.0335,55521.44593714984
0.03375,55171.99887725072
0.034,54824.75120617534
0.03425,54479.68908116538
0.0345,54136.7987465876
0.03475,53796.0665333855
0.035,53457.478858534414
0.03525,53121.022224500055
0.0355,52786.68321870038
0.03575,52454.44851297095
0.036,52124.30486303365
0.03625,51796.239107968635
0.0365,51470.238169689736
0.03675,51146.28905242312
0.037,50824.37884218918
0.03725,50504.49470628777
0.0375,50186.62389278661
0.03775,49870.753730012926
0.038,49556.87162604839
0.03825,49244.96506822702
0.0385,48935.02162263653
0.03875,48627.02893362249
0.039,48320.974723295934
0.03925,48016.84679104377
0.0395,47714.633013042534
0.03975,47414.321341775045
0.04,47115.89980555008
0.04025,46819.356508025216
0.0405,46524.67962773253
0.04075,46231.857417607396
0.041,45940.87820452013
0.04125,45651.73038881075
0.0415,45364.402443826475
0.04175,45078.88291546223
0.042,44795.1604217041
0.04225,44513.22365217556
0.0425,44233.061367686554
0.04275,43954.662399785506
0.043,43678.01565031413
0.04325,43403.11009096491
0.0435,43129.934762841534
0.04375,42858.47877602201
0.044,42588.731309124545
0.04425,42320.68160887621
0.0445,42054.31898968417
0.04475,41789.63283320978
0.045,41526.61258794528
0.04525,41265.24776879316
0.0455,41005.52795664819
0.04575,40747.44279798206
0.046,40490.98200443066
0.04625,40236.13535238392
0.0465,39982.892682578284
0.04675,39731.24389969166
0.047,39481.178971941066
0.04725,39232.68793068263
0.0475,38985.76087001429
0.04775,38740.387946380804
0.048,38496.55937818143
0.04825,38254.26544537994
0.0485,38013.49648911715
0.04875,37774.242911325884
0.049,37536.49517434834
0.04925,37300.24380055591
0.0495,37065.479371971334
0.04975,36832.19252989325
0.05,36600.373974523136
0.05025,36370.014464594606
0.0505,36141.10481700494
0.05075,35913.635906449104
0.051,35687.59866505589
0.05125,35462.98408202647
0.0515,35239.78320327519
0.05175,35017.987131072616
0.052,34797.58702369085
0.05225,34578.57409505103
0.0525,34360.9396143731
0.05275,34144.67490582776
0.053,33929.771348190596
0.05325,33716.22037449844
0.0535,33504.01347170782
0.05375,33293.1421803556
0.054,33083.59809422178
0.05425,32875.37285999433
0.0545,32668.458176936234
0.05475,32462.845796554593
0.055,32258.527522271786
0.05525,32055.49520909872
0.0555,31853.740763310147
0.05575,31653.256142122005
0.056,31454.033353370793
0.05625,31256.064455195003
0.0565,31059.341555718478
0.05675,30863.856812735827
0.057,30669.602433399836
0.05725,30476.570673910745
0.0575,30284.7538392076
0.05775,30094.144282661473
0.058,29904.734405770658
0.05825,29716.516657857705
0.0585,29529.483535768504
0.05875,29343.627583573125
0.059,29158.941392268564
0.05925,28975.417599483455
0.0595,28793.048889184545
0.05975,28611.827991385027
0.06,28431.747681854784
0.06025,28252.800781832317
0.0605,28074.98015773865
0.06075,27898.2787208929
0.061,27722.689427229725
0.06125,27548.205277018496
0.0615,27374.819314584292
0.06175,27202.524628030562
0.062,27031.314348963635
0.06225,26861.1816522189
0.0625,26692.119755588727
0.06275,26524.1219195521
0.063,26357.181447005947
0.06325,26191.291682998177
0.0635,26026.446014462374
0.06375,25862.63786995417
0.064,25699.860719389293
0.06425,25538.108073783238
0.0645,25377.373484992597
0.06475,25217.650545458
0.065,25058.932887948697
0.06525,24901.21418530872
0.0655,24744.488150204652
0.06575,24588.748534874994
0.066,24433.989130881135
0.06625,24280.20376885978
0.0665,24127.386318277095
0.06675,23975.53068718427
0.067,23824.63082197467
0.06725,23674.68070714255
0.0675,23525.6743650432
0.06775,23377.605855654692
0.068,23230.469276341057
0.06825,23084.258761617006
0.0685,22938.96848291409
0.06875,22794.59264834834
0.069,22651.125502489413
0.06925,22508.561326131126
0.0695,22366.89443606347
0.06975,22226.119184846055
0.07,22086.229960582983
0.07025,21947.221186699135
0.0705,21809.08732171786
0.07075,21671.822859040058
0.071,21535.422326724693
0.07125,21399.880287270626
0.0715,21265.191337399883
0.07175,21131.350107842234
0.072,20998.35126312116
0.07225,20866.189501341163
